대학명,캠퍼스,계열,추천전형,전형명,전형명_key,전형구분,모집단위,모집인원,2024_모집인원,D-2(2024),D-1(2024),D-0오전(2024),D-0오후(2024),최종(2024),3개년평균,경쟁률_0910_1100,경쟁률_0910_1500,지원인원_0910_1100,지원인원_0910_1500
국민대학교,,인문,0,학교생활우수자,학교생활우수자,종합,한국어문학부 글로벌한국어전공,1,1,4,6,7,7,10,8.67,0,0,0,0
국민대학교,,인문,1,교과성적우수자,교과성적우수자,교과,한국역사학과,9,9,1.89,2.78,3.33,4,5.22,8.41,1.11,1.56,10,14
국민대학교,,인문,0,국민프런티어,국민프런티어,종합,한국역사학과,10,10,4.3,7.3,11,12.1,13.9,11.57,1.5,1.6,15,16
국민대학교,,인문,0,학교생활우수자,학교생활우수자,종합,한국역사학과,9,11,2.36,4,5.64,5.91,7.64,6.33,1.22,1.22,11,11
국민대학교,,인문,1,교과성적우수자,교과성적우수자,교과,행정학과,9,12,1.25,2.33,3.33,3.67,5.42,13.91,0.67,0.78,6,7
국민대학교,,인문,0,국민프런티어,국민프런티어,종합,행정학과,13,13,3.15,5.77,8.08,9.31,12,8.61,0.31,0.38,4,5
국민대학교,,인문,0,학교생활우수자,학교생활우수자,종합,행정학과,13,13,1.85,3.31,4.69,5.54,7.92,6.23,0.69,1.08,9,14
덕성여자대학교,,자연,1,고교추천전형,고교추천,교과,과학기술대학,12,43,2.02,3.93,5.67,6.21,7.12,7.41,0.58,0.75,7,9
덕성여자대학교,,자연,0,덕성인재전형Ⅰ,덕성인재I(서류),종합,과학기술대학,20,20,2.85,5.2,9.1,10.5,12.75,10.35,0.3,0.6,6,12
덕성여자대학교,,자연,0,덕성인재전형Ⅱ,덕성인재II(면접),종합,과학기술대학,20,30,4.07,8.9,14.7,16.2,18.9,13.55,0.65,0.7,13,14
덕성여자대학교,,자연,0,학생부100%전형,학생부100%,교과,과학기술대학,13,33,1.58,3.48,5.67,6.45,7.85,10.01,0.77,0.85,10,11
덕성여자대학교,,인문,1,고교추천전형,고교추천,교과,글로벌융합대학유아교육과,6,6,1,1.67,2.67,3,4.17,7.56,0.17,0.33,1,2
덕성여자대학교,,인문,0,덕성인재전형Ⅱ,덕성인재II(면접),종합,글로벌융합대학유아교육과,6,5,5.6,10,13.8,15,17,17.7,1.17,1.33,7,8
덕성여자대학교,,인문,0,학생부100%전형,학생부100%,교과,글로벌융합대학유아교육과,5,6,2.83,4,5.5,5.83,7,9.95,0.4,0.6,2,3
덕성여자대학교,,,1,고교추천전형,고교추천,교과,글로벌융합대학인문사회,35,,,,,,,,0.49,0.66,17,23
덕성여자대학교,,,0,덕성인재전형Ⅰ,덕성인재I(서류),종합,글로벌융합대학인문사회,46,,,,,,,,0.67,0.87,31,40
덕성여자대학교,,,0,덕성인재전형Ⅱ,덕성인재II(면접),종합,글로벌융합대학인문사회,64,,,,,,,,1.06,1.34,68,86
덕성여자대학교,,,0,학생부100%전형,학생부100%,교과,글로벌융합대학인문사회,35,,,,,,,,0.83,1.2,29,42
덕성여자대학교,,,0,덕성인재전형Ⅱ,덕성인재II(면접),종합,미래인재대학AI신약학과,18,,,,,,,,0.11,0.17,2,3
덕성여자대학교,,,0,학생부100%전형,학생부100%,교과,미래인재대학AI신약학과,7,,,,,,,,0.43,0.57,3,4
덕성여자대학교,,자연,0,덕성인재전형Ⅱ,덕성인재II(면접),종합,미래인재대학가상현실융합학과,18,15,0.73,1.47,3.27,3.93,7.47,7.47,0.33,0.33,6,6
덕성여자대학교,,자연,0,학생부100%전형,학생부100%,교과,미래인재대학가상현실융합학과,7,12,0.33,1.17,2.5,3.42,6.08,6.08,0.29,0.43,2,3
덕성여자대학교,,자연,0,덕성인재전형Ⅱ,덕성인재II(면접),종합,미래인재대학데이터사이언스학과,18,15,0.93,1.67,3.67,4.53,7.53,7.53,0.17,0.17,3,3
덕성여자대학교,,자연,0,학생부100%전형,학생부100%,교과,미래인재대학데이터사이언스학과,7,12,0.5,1.08,2.42,3.58,5.58,5.58,0.57,0.57,4,4
덕성여자대학교,,,1,고교추천전형,고교추천,교과,미래인재대학자유전공학부,88,,,,,,,,0.38,0.51,33,45
덕성여자대학교,,,0,덕성인재전형Ⅰ,덕성인재I(서류),종합,미래인재대학자유전공학부,26,,,,,,,,0.23,0.27,6,7
덕성여자대학교,,,0,덕성인재전형Ⅱ,덕성인재II(면접),종합,미래인재대학자유전공학부,30,,,,,,,,0.43,0.47,13,14
덕성여자대학교,,,0,덕성인재전형Ⅱ,덕성인재II(면접),종합,약학대학,20,,,,,,,,1.7,2.55,34,51
덕성여자대학교,,자연,0,학생부100%전형,학생부100%,교과,약학대학,25,25,3.64,5.44,7.92,8.64,9.84,19.46,0.88,1.12,22,28
동국대학교,,자연,0,Do Dream,Do Dream,종합,가정교육과,8,8,1.25,5.12,8.75,10,14,9.12,0,0.5,0,4
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,가정교육과,7,7,4.43,15,19.71,20.57,22.57,14.24,0,1,0,7
동국대학교,,자연,0,Do Dream,Do Dream,종합,건설환경공학과,12,12,2.75,9.58,17.17,18.92,21.67,15.42,0,0.17,0,2
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,건설환경공학과,8,10,2.9,10.2,14.7,15.8,19,14.8,0,0.13,0,1
동국대학교,,자연,0,Do Dream,Do Dream,종합,건축공학부,16,16,1.5,5.56,9.5,10.5,13.38,11.48,0,0.38,0,6
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,건축공학부,8,10,2.5,6.8,8.9,9.8,11.8,10.78,0,0.75,0,6
동국대학교,,인문,0,Do Dream,Do Dream,종합,경영정보학과,12,12,5,19.83,27.67,30.92,35.42,21.53,0,0.33,0,4
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,경영정보학과,7,10,1.3,6.5,10.4,10.7,12.6,14,0,0.14,0,1
동국대학교,,인문,0,Do Dream,Do Dream,종합,경영학과,25,25,4.4,15.56,22.52,24.48,29.16,26.67,0,1.2,0,30
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,경영학과,10,20,4.25,13.3,18.4,19.8,21.75,27.32,0,0.9,0,9
동국대학교,,인문,0,Do Dream,Do Dream,종합,경제학과,17,17,1.71,6.88,11.53,13.12,17.18,15.18,0,0.65,0,11
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,경제학과,8,15,1.53,5.33,7.6,8,9.07,10.71,0,0.63,0,5
동국대학교,,인문,0,Do Dream,Do Dream,종합,경찰행정학부,8,8,5.12,13.75,19.75,20.88,22.62,18.75,0,1.63,0,13
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,경찰행정학부,6,8,4.75,12,15.62,16.25,16.38,22.83,0,1,0,6
동국대학교,,인문,0,Do Dream,Do Dream,종합,광고홍보학과,10,10,3.1,12,18.3,20,25,25.33,0,1.5,0,15
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,광고홍보학과,6,8,1,5.5,6.75,7.25,8.88,14.96,0,0.83,0,5
동국대학교,,,1,학교장추천인재,학교장추천인재,교과,광역화무전공 바이오시스템대학,9,,,,,,,,0,0.44,0,4
동국대학교,,,1,학교장추천인재,학교장추천인재,교과,광역화무전공열린전공학부인문,50,,,,,,,,0,0.82,0,41
동국대학교,,,1,학교장추천인재,학교장추천인재,교과,광역화무전공열린전공학부자연,50,,,,,,,,0,0.48,0,24
동국대학교,,인문,0,Do Dream,Do Dream,종합,교육학과,6,6,5.83,23.67,34,37.67,42.33,34.78,0,0.83,0,5
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,교육학과,4,4,4.5,13,17.5,19.75,22.25,30.58,0,1.5,0,6
동국대학교,,인문,0,Do Dream,Do Dream,종합,국어교육과,8,8,2.25,9.12,13,14.5,15.88,17.79,0,1.88,0,15
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,국어교육과,6,6,6,13.67,15.83,17.5,18.33,18.78,0,1.33,0,8
동국대학교,,,0,Do Dream,Do Dream,종합,국어국문문예창작학부,7,,,,,,,,0,1.71,0,12
동국대학교,,,1,학교장추천인재,학교장추천인재,교과,국어국문문예창작학부,3,,,,,,,,0,1,0,3
동국대학교,,인문,0,Do Dream,Do Dream,종합,국제통상학과,12,12,3.67,11.67,16.75,19,23.42,18.25,0,0.75,0,9
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,국제통상학과,6,9,2.67,7.33,11.44,11.89,14,13.22,0,0.5,0,3
동국대학교,,자연,0,Do Dream,Do Dream,종합,기계로봇에너지공학과,26,26,1.38,6.77,11.46,12.88,15.35,14.72,0,0.31,0,8
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,기계로봇에너지공학과,11,16,1.94,6.62,9.94,10.75,12,13,0,0.55,0,6
동국대학교,,인문,0,Do Dream,Do Dream,종합,문화유산학과,3,3,3.33,13.67,19.33,20,22.67,18.5,0,0.67,0,2
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,문화유산학과,3,3,1.67,4.67,7.67,8.67,10,9.11,0,0,0,0
동국대학교,,자연,0,Do Dream,Do Dream,종합,물리학과,7,5,3.2,12.6,17,18,20.4,20.4,0,0.43,0,3
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,물리학과,3,5,2.8,7.6,9.4,9.8,10,10,0,1.33,0,4
동국대학교,,인문,0,Do Dream,Do Dream,종합,미디어커뮤니케이션학전공,10,10,4.5,18.7,28.5,31.4,35.3,26.11,0,0.8,0,8
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,미디어커뮤니케이션학전공,6,9,4.33,11.89,15.56,16.44,18,21.7,0,1.33,0,8
동국대학교,,자연,0,Do Dream,Do Dream,종합,바이오환경과학과,10,10,7.9,31,44.8,48.1,55.8,36.92,0,1.2,0,12
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,바이오환경과학과,7,8,3.5,12.38,19.25,20.12,23.62,21.38,0,0.86,0,6
동국대학교,,인문,0,Do Dream,Do Dream,종합,법학과,19,20,4.4,12.3,17.25,19.1,21.75,16.15,0,0.95,0,18
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,법학과,8,15,2.2,6.53,8.73,9.07,9.8,12.76,0,1,0,8
동국대학교,,인문,0,Do Dream,Do Dream,종합,북한학전공,7,7,3,10.57,14,16,19,14.05,0,1,0,7
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,북한학전공,3,3,1.67,6.67,8.33,8.67,9.67,10,0,0.33,0,1
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,불교학부,3,3,2,4,6.67,7.67,8.67,6.89,0,0.67,0,2
동국대학교,,인문,0,Do Dream,Do Dream,종합,사학과,7,7,5,14,19.14,21.14,23.57,27.52,0,0.57,0,4
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,사학과,4,5,1.4,6.4,9,9.8,10.8,18.13,0,1,0,4
동국대학교,,인문,0,Do Dream,Do Dream,종합,사회복지학과,5,5,2.8,11,15.6,16.6,21.2,21.27,0,0.2,0,1
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,사회복지학과,3,3,1,5.33,7,7,7.33,15.56,0,0.67,0,2
동국대학교,,인문,0,Do Dream,Do Dream,종합,사회학전공,8,8,3,14.12,20.5,22.12,24.88,20,0,0.13,0,1
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,사회학전공,4,5,0.4,5.8,9,10,11.6,17.73,0,0,0,0
동국대학교,,자연,0,Do Dream,Do Dream,종합,산업시스템공학과,12,14,1.71,6,10.29,11.57,15.14,10.76,0,0.17,0,2
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,산업시스템공학과,8,13,1.15,3.92,7,8.23,9.38,8.41,0,0.13,0,1
동국대학교,,자연,0,Do Dream,Do Dream,종합,생명과학과,10,10,5.1,17.5,29.2,33,41.2,30.15,0,0.9,0,9
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,생명과학과,7,8,2.88,7,10.25,11.12,14.5,24.17,0,0.71,0,5
동국대학교,,자연,0,Do Dream,Do Dream,종합,수학과,9,10,2,7.9,13.3,14.2,17.3,13.3,0,0.78,0,7
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,수학과,4,5,0.8,7.2,10,11,13.2,16.47,0,0.25,0,1
동국대학교,,자연,0,Do Dream,Do Dream,종합,수학교육과,6,6,3.83,15.5,21.33,22.5,23.33,18.83,0,1.17,0,7
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,수학교육과,4,4,2.5,7.75,9.75,10.75,11.5,25,0,0.25,0,1
동국대학교,,자연,0,Do Dream,Do Dream,종합,시스템반도체학부,15,9,1.22,5.22,10.22,11.22,15.67,15.67,0,0.2,0,3
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,시스템반도체학부,6,5,0.8,3.8,8.2,9,10.8,10.8,0,0.33,0,2
동국대학교,,인문,0,Do Dream,Do Dream,종합,식품산업관리학과,8,8,5,15.25,24.38,26.38,29.88,16.08,0,1.38,0,11
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,식품산업관리학과,3,5,2.8,5.6,7.4,8.4,10.2,9.73,0,0.67,0,2
동국대학교,,자연,0,Do Dream,Do Dream,종합,식품생명공학과,12,11,4.36,20,29.55,32.18,38.27,26.06,0,0.5,0,6
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,식품생명공학과,7,11,2.91,11.82,15.36,16.73,19.55,19.97,0,0.14,0,1
동국대학교,,자연,0,Do Dream,Do Dream,종합,약학과,11,9,8.78,21.11,30.44,34.22,39.89,35.22,0,1.18,0,13
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,약학과,4,4,10,23.75,29.75,31.25,33.75,43.58,0,2.75,0,11
동국대학교,,자연,0,Do Dream,Do Dream,종합,에너지신소재공학과,9,9,2.78,11.22,18.56,20.11,25.11,21.11,0,0.56,0,5
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,에너지신소재공학과,5,7,3.71,12.14,19.57,20.57,23,21.33,0,0.4,0,2
동국대학교,,인문,0,Do Dream,Do Dream,종합,역사교육과,9,9,4.78,11.67,16.56,17.56,18.44,17.7,0,1.44,0,13
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,역사교육과,7,7,3.57,8,9.86,10.14,11.14,20.86,0,0.29,0,2
동국대학교,,인문,0,Do Dream,Do Dream,종합,연극학부,10,10,3.5,8.2,12.4,13.4,15.2,14.73,0,1.3,0,13
동국대학교,,인문,0,Do Dream,Do Dream,종합,영어영문학부,15,15,2.47,11.53,17.2,19.87,23.93,20.23,0,0.73,0,11
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,영어영문학부,7,13,2,4.85,7.23,7.92,9,12.11,0,0.29,0,2
동국대학교,,인문,0,Do Dream,Do Dream,종합,영화영상학과,11,10,5.6,17.5,25.8,28,31.7,30.14,0,2.64,0,29
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,영화영상학과,3,4,5.25,11.25,14,14.5,15,25.45,0,1.33,0,4
동국대학교,,자연,0,Do Dream,Do Dream,종합,의생명공학과,9,9,4,20.67,30.67,34.56,44.67,42.79,0,0.56,0,5
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,의생명공학과,5,6,3.33,7.5,11.5,14,16.33,27.39,0,0.4,0,2
동국대학교,,인문,0,Do Dream,Do Dream,종합,일본학과,7,7,3,12.43,18,18.86,21.57,19.67,0,2.57,0,18
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,일본학과,3,4,2.5,5.25,6,6,6.25,10.17,0,0,0,0
동국대학교,,자연,0,Do Dream,Do Dream,종합,전자전기공학부,29,29,1.59,6.31,10.07,10.97,13.41,11.42,0,0.24,0,7
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,전자전기공학부,13,27,2.22,6.48,9.11,9.59,10.85,12.4,0,0.85,0,11
동국대학교,,자연,0,Do Dream,Do Dream,종합,정보통신공학과,20,20,1.55,6.2,11.85,13,16.2,10.3,0,0.05,0,1
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,정보통신공학과,7,11,1,3.64,5.82,6.91,8.18,9.4,0,0.29,0,2
동국대학교,,인문,0,Do Dream,Do Dream,종합,정치외교학전공,8,8,3.62,10.5,15.12,16.25,19.38,21.71,0,1.38,0,11
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,정치외교학전공,5,6,3,7,9.83,10.67,12.33,18.5,0,0.6,0,3
동국대학교,,인문,0,Do Dream,Do Dream,종합,중어중문학과,7,7,4.71,12.29,16.43,18,21,22.71,0,1.71,0,12
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,중어중문학과,5,6,1.67,4.17,5.33,5.83,7.17,9.28,0,0.8,0,4
동국대학교,,인문,0,Do Dream,Do Dream,종합,지리교육과,8,8,3.25,8.88,13.12,13.62,15.75,11.92,0,0.88,0,7
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,지리교육과,7,7,3.43,7.57,10.29,10.57,11.29,13.24,0,0.57,0,4
동국대학교,,인문,0,Do Dream,Do Dream,종합,철학과,5,5,2.4,11.6,17,18.8,20.6,16.67,0,1.4,0,7
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,철학과,2,2,2.5,11,13.5,14,14,15.17,0,0.5,0,1
동국대학교,,,1,학교장추천인재,학교장추천인재,교과,컴퓨터  AI학부,9,,,,,,,,0,0.67,0,6
동국대학교,,자연,0,Do Dream,Do Dream,종합,통계학과,9,9,1,8.44,13.33,14.67,16.44,11.86,0,0.22,0,2
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,통계학과,4,6,1.83,8.5,10.83,12.17,12.83,12.56,0,0,0,0
동국대학교,,인문,0,Do Dream,Do Dream,종합,행정학전공,6,6,2.33,8.5,12.33,14.5,19.5,18.89,0,0.83,0,5
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,행정학전공,5,6,2,6.67,9.5,10.17,11.33,18.67,0,0.8,0,4
동국대학교,,자연,0,Do Dream,Do Dream,종합,화공생물공학과,14,14,2.36,12.29,20.79,23.36,29.86,22.81,0,0.57,0,8
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,화공생물공학과,9,12,2.92,11.08,17.33,19.17,22.83,28.33,0,1,0,9
동국대학교,,자연,0,Do Dream,Do Dream,종합,화학과,9,9,3.33,16.22,25.11,27.56,33.44,22.61,0,0.67,0,6
동국대학교,,자연,1,학교장추천인재,학교장추천인재,교과,화학과,4,6,3.17,10.67,16.5,17.5,20.17,21.11,0,1.25,0,5
동국대학교,,인문,0,Do Dream,Do Dream,종합,회계학과,13,13,1.15,5.92,10.23,11.38,15.38,10.07,0,0.62,0,8
동국대학교,,인문,1,학교장추천인재,학교장추천인재,교과,회계학과,7,11,1.82,5,6.36,6.73,8,9.21,0,0.29,0,2
동덕여자대학교,,자연,0,동덕창의리더,동덕창의리더,종합,HCI사이언스전공,4,4,1,1.5,4.25,5.25,10,10,1,1,4,4
동덕여자대학교,,자연,1,학생부교과우수자 특별전형,학생부교과우수자,교과,HCI사이언스전공,8,9,1.78,2.67,3.44,4.22,7.44,6.45,0,0,0,0
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,경영융합학부,16,14,3.71,5.57,8.5,9.57,11.43,11.14,0.75,0.81,12,13
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,경영융합학부,24,14,3.5,6,8.93,9.5,11.57,8.69,0.46,0.5,11,12
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,국사학전공,5,5,3.8,6.4,9.4,10.2,11.6,10.14,0.8,1.2,4,6
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,국사학전공,3,3,2.33,4.67,5.33,6,7.33,6.4,0.33,0.33,1,1
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,국어국문학전공,8,8,3.12,5.25,8.38,9.25,11.88,10.29,1.25,1.63,10,13
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,국어국문학전공,4,4,3.25,5,5.5,5.75,6.5,9.03,0.25,0.25,1,1
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,글로벌MICE융합전공,4,4,3.25,4.25,7.5,8,12.25,12.25,0.5,0.75,2,3
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,글로벌MICE융합전공,8,9,1,2.22,3.89,4.56,6.56,6.06,0.25,0.25,2,2
동덕여자대학교,,자연,0,동덕창의리더,동덕창의리더,종합,데이터사이언스전공,5,5,1,1.8,4.2,4.8,8,8,0,0,0,0
동덕여자대학교,,자연,1,학생부교과우수자 특별전형,학생부교과우수자,교과,데이터사이언스전공,10,12,2.17,5,8.17,8.67,12.92,8.89,0.2,0.2,2,2
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,문예창작전공,5,5,10.4,16.2,22.6,23.2,26,19.44,2,3,10,15
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,문예창작전공,4,4,1.5,2.25,3,3.5,5.25,6.48,0.5,1,2,4
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,문헌정보학전공,6,6,4,8.5,12.83,14,15.5,13.12,1.33,1.5,8,9
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,문헌정보학전공,7,6,3.33,4.83,7.83,8.17,9,7.21,0.86,1.14,6,8
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,문화예술경영전공,4,4,7.5,12.75,19,20.75,23.25,23.25,1.25,2.5,5,10
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,문화예술경영전공,8,9,3.78,5.33,6.56,7.33,9.11,6.5,0.75,0.75,6,6
동덕여자대학교,,,0,동덕창의리더,동덕창의리더,종합,미디어디자인전공,4,,,,,,,,1.75,2.5,7,10
동덕여자대학교,,자연,0,동덕창의리더,동덕창의리더,종합,보건관리학전공,6,7,5,8.57,11.71,12.57,16.57,10.48,0.33,0.33,2,2
동덕여자대학교,,자연,1,학생부교과우수자 특별전형,학생부교과우수자,교과,보건관리학전공,6,6,3.33,6,8.83,10.67,13,9.12,0.5,0.67,3,4
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,사회복지학전공,6,6,4,9,13.67,14.17,17.33,15.25,1.67,1.83,10,11
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,사회복지학전공,3,3,1.67,2.67,3.67,4.33,5.33,5.8,0.33,0.33,1,1
동덕여자대학교,,자연,0,동덕창의리더,동덕창의리더,종합,식품영양학전공,6,6,4.5,8.17,13.67,14,16.33,12.68,1.17,1.33,7,8
동덕여자대학교,,자연,1,학생부교과우수자 특별전형,학생부교과우수자,교과,식품영양학전공,8,8,3.75,6.75,11.38,12.12,13.5,9.7,1.13,1.13,9,9
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,아동학전공,7,7,4.43,7.71,12.71,13.43,17,14.25,0.71,0.71,5,5
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,아동학전공,8,9,0.67,1.33,3,3.22,4.67,6.17,0.5,0.5,4,4
동덕여자대학교,,,0,동덕창의리더,동덕창의리더,종합,앙트러프러너십전공,15,,,,,,,,0.33,0.4,5,6
동덕여자대학교,,자연,0,동덕창의리더,동덕창의리더,종합,약학과,8,8,6.5,10.38,14.88,15.88,22.25,22.25,1.5,1.63,12,13
동덕여자대학교,,자연,1,학생부교과우수자 특별전형,학생부교과우수자,교과,약학과,12,12,3,5.25,6.92,7.25,9.42,14.53,0.67,0.75,8,9
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,영어전공,10,10,1.7,3.7,6.9,7.4,10,9.64,0.7,0.9,7,9
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,영어전공,9,9,1.33,2.33,4,4.33,6.11,5.99,0.33,0.33,3,3
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,유러피언스터디즈전공,10,10,3.3,6.3,9.3,10,12.8,9.63,0.7,0.9,7,9
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,유러피언스터디즈전공,6,6,2.33,3.67,5.5,6.67,10,8.29,0.33,0.83,2,5
동덕여자대학교,,자연,0,동덕창의리더,동덕창의리더,종합,응용화학전공,5,6,3,5.67,10.17,10.83,14.5,11.64,1.8,2.4,9,12
동덕여자대학교,,자연,1,학생부교과우수자 특별전형,학생부교과우수자,교과,응용화학전공,7,8,2.62,5.25,8.62,9.5,11.62,8.1,0.29,0.57,2,4
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,일어일본학전공,8,8,4.62,7,10.5,11,14.38,10.87,1.88,2.13,15,17
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,일어일본학전공,6,6,1.83,3.5,6,6.67,8.33,7.27,0.67,0.67,4,4
동덕여자대학교,,자연,0,동덕창의리더,동덕창의리더,종합,정보통계학전공,7,8,1.25,1.88,3.62,4,7.25,6.05,0.14,0.14,1,1
동덕여자대학교,,자연,1,학생부교과우수자 특별전형,학생부교과우수자,교과,정보통계학전공,8,8,3,6.38,10.5,11.12,12.5,8.76,0.75,1,6,8
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,중어중국학전공,8,8,3.62,7.12,9.75,9.88,12,9.87,0.88,1.13,7,9
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,중어중국학전공,8,8,2.25,5.25,8.62,9.62,11.25,8.73,0.63,0.63,5,5
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,커뮤니케이션콘텐츠전공,4,4,6.25,10.5,15.25,16,20.25,20.25,1,1.5,4,6
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,커뮤니케이션콘텐츠전공,8,9,0.67,1.89,3.67,4.44,6.44,5.58,0,0.25,0,2
동덕여자대학교,,자연,0,동덕창의리더,동덕창의리더,종합,컴퓨터학전공,14,14,1.5,2.93,4.21,4.57,6.57,6.15,0.29,0.29,4,4
동덕여자대학교,,자연,1,학생부교과우수자 특별전형,학생부교과우수자,교과,컴퓨터학전공,6,6,1.67,4,6.17,6.17,8.33,7.38,0.17,0.33,1,2
동덕여자대학교,,인문,0,동덕창의리더,동덕창의리더,종합,큐레이터학전공,5,5,7.2,8.6,10.4,11.2,13.8,8.21,1.2,1.4,6,7
동덕여자대학교,,인문,1,학생부교과우수자 특별전형,학생부교과우수자,교과,큐레이터학전공,3,3,3,3.67,4.67,6,7.33,7.93,0.33,0.33,1,1
동덕여자대학교,,자연,0,동덕창의리더,동덕창의리더,종합,화장품학전공,3,3,8,14.67,19.67,21,24.67,24.67,2.33,3.33,7,10
동덕여자대학교,,자연,1,학생부교과우수자 특별전형,학생부교과우수자,교과,화장품학전공,5,5,3.6,5.8,8.2,8.6,10.2,7.67,1,1,5,5
명지대학교,자연캠퍼스(용인),자연,0,교과면접,교과면접,교과,건설환경공학전공,5,5,5.8,8,12.4,13,16.6,11.13,2,2.4,10,12
명지대학교,자연캠퍼스(용인),자연,0,명지인재면접,명지인재면접,종합,건설환경공학전공,14,12,3,5.92,9.92,11.17,14,12.15,0.71,0.79,10,11
명지대학교,자연캠퍼스(용인),자연,0,명지인재서류,명지인재서류,종합,건설환경공학전공,6,5,1.4,3.8,6.6,7.8,9.8,10,0.33,0.5,2,3
명지대학교,자연캠퍼스(용인),자연,1,학교장추천,학교장추천,교과,건설환경공학전공,5,7,1.86,2.71,5.57,6.14,8.57,7.48,0,0,0,0
