대학명,캠퍼스,계열,추천전형,전형명,전형명_key,전형구분,모집단위,모집인원,2024_모집인원,D-2(2024),D-1(2024),D-0오전(2024),D-0오후(2024),최종(2024),3개년평균,경쟁률_0910_1100,경쟁률_0910_1500,지원인원_0910_1100,지원인원_0910_1500
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,공간디자인소비자학과,9,5,6,10,17,0,20.8,20.8,3.67,3.89,33,35
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,공간디자인소비자학과,5,5,1.6,2.8,4.4,0,6.2,8.93,1.8,2,9,10
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,국사학과,10,5,3.6,6.4,11.8,0,14.8,14.8,2.3,2.3,23,23
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,국사학과,5,4,3,4.5,5.25,0,6,13,0.2,0.4,1,2
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,국어국문학과,9,5,2.6,5.6,9.8,0,13.4,13.4,1.22,1.44,11,13
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,국어국문학과,5,4,3,5.5,7.5,0,8.5,9.63,0,0,0,0
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,국제학부,13,9,4.22,6.11,13.44,0,17.89,17.89,2.31,2.85,30,37
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,국제학부,10,9,2.33,4.11,6.89,0,9.33,11.03,0.6,0.6,6,6
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,데이터사이언스학과,9,8,1.5,2.62,7.38,0,11.88,11.88,1.44,1.67,13,15
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,데이터사이언스학과,8,5,2,3.6,7.6,0,10,13.07,0.13,0.13,1,1
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,물리학과,7,6,2,3,5.5,0,8.17,8.17,0.86,1,6,7
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,물리학과,8,6,1.5,3.5,6.17,0,8.67,9.97,0.38,0.38,3,3
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,미디어기술콘텐츠학과,11,6,4.83,9.83,17.33,0,22.17,22.17,3.55,4.09,39,45
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,미디어기술콘텐츠학과,7,5,2.6,4,6.6,0,7.4,17.27,0.43,0.43,3,3
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,바이오메디컬소프트웨어학과,7,7,3.29,4.86,8.43,0,11.71,11.71,0.71,0.86,5,6
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,바이오메디컬소프트웨어학과,5,5,1.6,2,2.8,0,4.2,6.3,0,0,0,0
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,바이오메디컬화학공학과,13,10,3.9,6.7,12.9,0,18.9,18.9,1.23,1.23,16,16
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,바이오메디컬화학공학과,9,8,1.5,2.25,3.38,0,5.5,7.85,0,0.11,0,1
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,법학과,9,4,6.5,9.75,15.5,0,19.25,19.25,3.56,3.78,32,34
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,법학과,5,5,1.6,2.8,3.6,0,5.4,8.87,1,1.2,5,6
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,사회복지학과,9,6,5.83,9.5,14.83,0,18.17,18.17,2.22,2.44,20,22
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,사회복지학과,7,5,1.8,2.8,4.4,0,5.6,15.33,0.29,0.29,2,2
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,사회학과,9,6,4.67,6.17,11.67,0,16.67,16.67,1.78,1.89,16,17
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,사회학과,6,6,1.33,2,2.83,0,6.33,12.38,0.67,0.83,4,5
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,생명공학과,11,9,5.11,10.44,17.33,0,23,23,2.64,2.91,29,32
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,생명공학과,7,7,1.86,3.43,5.71,0,6.57,8.52,0,0.14,0,1
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,수학과,7,6,2.33,3.67,6.5,0,9,9,0.86,1.14,6,8
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,수학과,8,6,0.67,1.17,2.83,0,4.67,7.16,0.63,0.63,5,5
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,식품영양학과,9,7,2.71,4.57,8.71,0,12.29,12.29,4.56,5.11,41,46
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,식품영양학과,6,5,1.6,2.6,5,0,6.8,7.8,0,0.17,0,1
가톨릭대학교,성신,,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,신학과,32,,,,,,,,0.53,0.53,17,17
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,심리학과,12,7,7.57,12.29,19,0,21.43,21.43,2.5,2.83,30,34
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,심리학과,7,6,4.67,8,11.5,0,11.83,12.57,1,1,7,7
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,아동학과,7,5,2.8,5.8,10.8,0,16.2,16.2,1.29,1.29,9,9
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,아동학과,7,5,2.4,4.2,8.2,0,9,9.27,0.29,0.29,2,2
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,약학과,4,4,4.25,6.75,9.25,0,11.25,19.95,1.25,1.5,5,6
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,에너지환경공학과,9,8,3.25,6.38,12.38,0,16.25,16.25,2.22,2.33,20,21
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,에너지환경공학과,7,6,2.33,3.33,6.33,0,7.67,13.71,0.29,0.29,2,2
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,영어영문학부,12,9,2.67,4.44,9.33,0,12.22,12.22,1.83,2,22,24
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,영어영문학부,11,8,1.25,3,4.88,0,6.5,13.39,0.27,0.27,3,3
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,의류학과,9,5,7,10.8,20.4,0,24.6,24.6,3.89,4.11,35,37
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,의류학과,5,5,1.4,2,3.2,0,5,9.73,1.4,1.8,7,9
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,의생명과학과,9,8,7.62,13.12,23.5,0,30.5,30.5,2.78,3,25,27
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,의생명과학과,5,5,0.8,1,2.2,0,5,8.42,1,1.4,5,7
가톨릭대학교,성의,자연,0,학생부교과(지역균형전형),지역균형,교과,의예과,10,10,7.1,7.9,8.6,0,9.4,22.6,3.1,3.7,31,37
가톨릭대학교,성심,자연,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,인공지능학과,10,8,1,2.38,8.25,0,11.62,11.62,0.4,0.4,4,4
가톨릭대학교,성심,자연,0,학생부교과(지역균형전형),지역균형,교과,인공지능학과,8,5,2,4,6,0,7.2,10.67,0.13,0.13,1,1
가톨릭대학교,성심,,0,학생부종합(잠재능력우수자면접전형),잠재능력우수자(면접),종합,인문사회계열,16,,,,,,,,3.13,3.31,50,53
가톨릭대학교,성심,,0,학생부교과(지역균형전형),지역균형,교과,인문사회계열,26,,,,,,,,0.12,0.15,3,4
가톨릭대학교,성심,인문,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,일어일본문화학과,9,6,10.67,17.33,25.83,0,30.83,30.83,6.33,6.78,57,61
가톨릭대학교,성심,인문,0,학생부교과(지역균형전형),지역균형,교과,일어일본문화학과,7,5,3,5.8,9.2,0,10.4,12.36,0.43,0.57,3,4
가톨릭대학교,성심,,0,학생부종합(잠재능력우수자면접전형),잠재능력우수자(면접),종합,자연공학계열,16,,,,,,,,1.75,1.81,28,29
가톨릭대학교,성심,,0,학생부교과(지역균형전형),지역균형,교과,자연공학계열,16,,,,,,,,0.31,0.31,5,5
가톨릭대학교,성심,,0,학생부종합(잠재능력우수자면접전형),잠재능력우수자(면접),종합,자유전공학부,11,,,,,,,,1.36,1.45,15,16
가톨릭대학교,성심,,0,학생부종합(잠재능력우수자전형),잠재능력우수자(서류),종합,자유전공학부,16,,,,,,,,2.31,2.44,37,39
가톨릭대학교,성심,,0,학생부교과(지역균형전형),지역균형,교과,자유전공학부,17,,,,,,,,0.35,0.35,6,6
